代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
167407645693575168, 519171, 0P00015U1I, 浦银安盛医疗健康灵活配置混合A, 行业混合 - 医药, 5, 4, -27.70
167407648994492416, 202213, 0P0001FFK8, 南方核心竞争混合, 标准混合, 5, 0, -15.29
167407651913728000, 002170, 0P000171VF, 东吴移动互联灵活配置混合C, 灵活配置, 5, 3, -36.36
167407653532729344, 000557, 0P00012BW9, 国投瑞银新机遇灵活配置混合C, 灵活配置, 5, 5, -2.61
167407655218839552, 001323, 0P000160ZT, 东吴移动互联灵活配置混合A, 灵活配置, 5, 3, -36.32
167407656800092160, 005050, 0P0001BH68, 长安鑫旺价值灵活配置混合C, 灵活配置, 5, 0, -37.51
167407658695917568, 005342, 0P0001C90X, 长安裕泰灵活配置混合C, 沪港深灵活配置, 5, 0, -37.65
167407661984251904, 673060, 0P00018JEI, 西部利得景瑞灵活配置混合A, 积极配置 - 大盘成长, 5, 5, -34.04
167407663599058944, 163810, 0P0000P2U6, 中银价值精选灵活配置混合, 标准混合, 5, 4, -17.03
167407666258247680, 002446, 0P0001H5O2, 广发利鑫灵活配置混合A, 灵活配置, 5, 0, -29.25
167407668976156672, 000727, 0P0001510V, 融通健康产业灵活配置混合A, 行业混合 - 医药, 5, 4, -23.75
167407671010394112, 660015, 0P0000X6F3, 农银行业轮动混合, 积极配置 - 大盘成长, 5, 5, -32.96
167407672755224576, 007013, 0P0001FVJU, 湘财长顺混合C, 积极配置 - 大盘成长, 5, 0, -20.01
167407674885931008, 001121, 0P00015KAC, 东方睿鑫热点挖掘灵活配置混合C, 积极配置 - 大盘平衡, 5, 4, -25.92
167407677062774784, 000165, 0P0000ZFQ2, 国投瑞银策略精选混合, 灵活配置, 5, 5, -13.25
167407680615350272, 350007, F0000004G7, 天治趋势精选混合, 灵活配置, 5, 4, -18.13
167407682326626304, 005660, 0P0001DZCJ, 嘉实资源精选股票A, 沪港深股票, 5, 0, -19.35
167407684088233984, 005618, 0P0001CNVQ, 融通红利机会主题精选灵活配置混合A, 沪港深灵活配置, 5, 0, -8.36
167407685732401152, 005341, 0P0001C90W, 长安裕泰灵活配置混合A, 沪港深灵活配置, 5, 0, -37.62
167407708348088320, 005049, 0P0001BH67, 长安鑫旺价值灵活配置混合A, 灵活配置, 5, 0, -37.47
167407711871303680, 006081, 0P0001EWFM, 海富通电子信息传媒产业股票A, 行业股票-科技、传媒及通讯, 5, 0, -40.09
167407713515470848, 001780, 0P0001BDUA, 诺安改革趋势灵活配置混合, 灵活配置, 5, 0, -18.35
167407715088334848, 001322, 0P000165U9, 东吴新趋势价值线灵活配置混合, 灵活配置, 5, 2, -36.18
167407719655931904, 002145, 0P0001CF1J, 诺安景鑫灵活配置混合, 灵活配置, 5, 0, -21.62
167407726010302464, 006080, 0P0001EWFN, 海富通电子信息传媒产业股票C, 行业股票-科技、传媒及通讯, 5, 0, -40.25
167407727700606976, 080005, F0000004HK, 长盛量化红利混合, 积极配置 - 大盘平衡, 5, 5, -5.99
167407729336385536, 004959, 0P0001CG4Z, 圆信永丰优悦生活混合, 标准混合, 5, 0, -26.18
167407730993135616, 000259, 0P0000Z6UL, 农银区间收益混合, 灵活配置, 5, 5, -21.94
167407732633108480, 003299, 0P00018Q6Y, 嘉实物流产业股票C, 大盘平衡股票, 5, 5, -10.48
167407734256304128, 070027, 0P0000UI8B, 嘉实周期优选混合, 积极配置 - 大盘平衡, 5, 3, -10.85
167407735917248512, 006102, 0P0001E0EO, 浙商丰利增强债券, 积极债券, 5, 0, -8.85
167407737968263168, 003153, 0P000198XC, 华富天鑫灵活配置混合C, 灵活配置, 5, 3, -32.90
167407740359016448, 001577, 0P00016AJK, 嘉实低价策略股票, 大盘平衡股票, 5, 5, -15.94
167407742506500096, 005619, 0P0001CNVR, 融通红利机会主题精选灵活配置混合C, 沪港深灵活配置, 5, 0, -8.63
167407744175833088, 006374, 0P0001EOTY, 富兰克林国海全球科技互联混合（QDII）美元现汇, QDII 环球股债混合, 5, 0, -20.23
167407746377842688, 001607, 0P000171V9, 英大策略优选混合A, 积极配置 - 大盘平衡, 5, 5, -21.37
