代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
67708223846612992, 000119, 0P0000YMY4, 广发聚鑫债券C, 积极债券型, 5, 5, 3.69
67708230557499392, 512700, 0P0001AHZP, 南方中证银行ETF, 行业股票 - 金融地产, 5, 0, 3.78
67708237230637056, 110027, 0P0000T3GV, 易方达安心回报债券 - A, 积极债券型, 5, 5, 7.15
67708245350809600, 161121, 0P000160TO, 易方达中证银行指数（LOF）A, 行业股票 - 金融地产, 5, 5, 3.89
67708253131243520, 004083, 0P00019RO0, 国联安鑫隆混合A, 保守混合型, 5, 0, 1.45
67708260307697664, 004270, 0P0001BHLO, 汇添富民丰回报混合A, 保守混合型, 5, 0, 10.66
67708267328962560, 004084, 0P00019RO1, 国联安鑫隆混合C, 保守混合型, 5, 0, 1.22
67708274417336320, 003459, 0P00019T40, 嘉实稳宏债券C, 积极债券型, 5, 0, 11.90
67708283984543744, 000047, 0P0000Y602, 华夏双债债券A, 积极债券型, 5, 5, 6.57
67708292528340992, 005121, 0P0001BJPU, 富国兴利增强债券, 积极债券型, 5, 0, 11.27
67708303127347200, 000048, 0P0000Y603, 华夏双债债券C, 积极债券型, 5, 5, 6.34
67708316507176960, 000118, 0P0000YMY3, 广发聚鑫债券A, 积极债券型, 5, 5, 3.93
67708328217673728, 160517, 0P000162B1, 博时中证银行指数（LOF）, 行业股票 - 金融地产, 5, 5, 4.41
67708340137885696, 004427, 0P0001A99B, 交银施罗德增利增强债券A, 积极债券型, 5, 0, 6.08
67708351932268544, 151002, F020151002, 银河收益债券, 积极债券型, 5, 5, 7.61
67708363097505792, 501050, 0P00018MVF, 华夏沪港通上证50AH优选指数（LOF）A, 香港股票型基金, 5, 0, -3.12
67708446597709824, 110028, 0P0000T3GW, 易方达安心回报债券 - B, 积极债券型, 5, 5, 6.91
67708456647262208, 519967, 0P00015R91, 长信利富债券, 积极债券型, 5, 3, 2.99
67708465107173376, 004598, 0P0001AHZO, 南方中证银行ETF联接C, 行业股票 - 金融地产, 5, 0, 4.33
67708474003292160, 161029, 0P00015RPM, 富国中证银行指数, 行业股票 - 金融地产, 5, 4, 4.48
